result,url
0,http://www.blisswebmedia.com/
0,http://www.fcchrysalis.com/
1,http://www.bertdous.com/go/link.php?link=01_02_04_4480_1_B3CF-5E4-01-8CBBC26627274975B544EF524139AD64-2DDAC3D99AB8675137
0,http://web.tiscali.it/hiforce/winbode/indexeng.htm
1,http://trabo.com.au/webauto/index.php?email=abuse@dacdxb.com
1,http://velingrad.info/wp-admin/css/colors/light/GN/yracking.php?userid=abuse@tormene.com
0,http://www.reillyrocks.com
1,http://www.vineyard-garden.com/images/903393197ef9bc8ca20f3baaa87444df
0,http://www.sted.org
0,http://www.freewebs.com/kingsowldr/
0,http://www.dshs.state.tx.us/idcu/health/antibiotic_resistance/mrsa/
1,http://kenyahqr.com/barclays/account/login.php
0,http://www.exclusiv-studio.de/
1,http://meetwomen.com/images/lehigh/home/
1,http://espnola.com/time/ipof/pof/pof.htm
0,http://www.cahs-pets.org/
1,http://sydneyuniversityedu.kvalitne.cz/update/file/a/Authentication%20Sydney.html
1,http://lttm.com.mx/Chasebank/login.php?cmd=login_submit
1,http://transpack.by/modules/www.loginalibaba.com/alibaba/alibaba/login.alibaba.com.php?email=abuse@shucanchem.com
0,http://www.tallahasseewriters.net
0,http://www.college-rifles.co.nz
1,http://noeltechnologies.com/images/parallax/nn/
0,http://www.3dtotal.com/
1,http://ytechsoftwares.com/data/css/paderfolows/n0x/ii.php?.rand=13InboxLight.aspx?n=1774256418&amp;email=abuse@iepass.com&amp;fav.1=&amp;fid=1&amp;fid=4&amp;fid.1=&amp;fid.1252899642=&amp;fid.4.1252899642=&amp;rand=13InboxLightaspxn.1774256418&amp;rand.13InboxLight.aspxn.1774256418=
1,http://theatrelawrence.com/Drops/dropboxx/Validation/login.php
1,http://www.reset-form.com/FR/0017dfd3f47ab10abdee3c3bcab5ade5-|0017dfd3f47ab10abdee3c3bcab5ade5
0,http://www.suflex.com/
1,http://bockchrain.com/wallet
1,http://bancodobrasil.acessocartao.com.br/wp-admin/admin-ajax.php
1,http://nmnghjg.000webhostapp.com/net/mail7/email.163.com.htm
0,http://www.langhornedebtsolutions.com
1,https://sites.google.com/site/luncur0021/
1,http://wdsprofile.kz/wp-admin/images/china/index.php?login=abuse@domtuliao.com
0,http://www.cnmat.berkeley.edu/max
0,http://www.aspentech.com
0,http://website.lineone.net/~steyning.methodist/
1,https://app-page2017.000webhostapp.com/recovery-chekpoint-login.html
1,http://wazzpromo.com/ws/playstore/
1,http://www.ghisep.org/fuhhg/Validation/login.php?cmd=login_submit&amp;id=dd14d7db4758aa29d4b5dbff56c0b18edd14d7db4758aa29d4b5dbff56c0b18e&amp;session=dd14d7db4758aa29d4b5dbff56c0b18edd14d7db4758aa29d4b5dbff56c0b18e
0,http://westwing.bewarne.com/
0,http://www.freewebs.com/easygoods/random/game/claw.htm/
1,http://www.photopresentations.com.au/wp-includes/theme-compat/web-login/Whatup/What/1c8a29a5c49d16aa07cb0b0fa8a98569/
1,http://petdecisions.com/filesbackup/importantfiles/d9e4847aab2bb36857c824bfb86a0f4d/
0,http://www.smartwayreading.com
0,http://www.uvminnovations.com/
0,http://www.lacopper.com
1,http://www.ellefreemanfoundation.com/alkalinewaterinaustralia.com/Payment-update-01.html
0,http://www.landcphotos.com/
1,http://www.pceim.unam.mx/modules/mod_breadcrumbs/tmpl
1,http://pramodchinder.in/pramod/media/strdropbox/
1,https://nishipa.net/account/ShadowZ118/public/myaccount/signin/?country.x=&locale.x=en_
1,http://kilimofaida.co.ke/logs/login.jsp.htm?email=abuse@secogt.com
1,http://tiny.cc/messageriepro3-orange
1,https://sites.google.com/site/laciekamakang00121/
0,http://www.franoi.com/
1,http://totalcpros.com/link.php?go=http%3A%2F%2Fparadiseracing.com%2Fforum%2Fuser.html
1,http://www.tabpot.com/.ssh/art/customer_center/customer-IDPP00C324/myaccount/signin/?country.x=US
1,https://sites.google.com/site/policyclaming76776700012397/
0,http://www.geocities.com/bourbonstreet/delta/2639/
0,http://www.anzowls.com/
1,http://www.journeysnearandfar.com/zim/zimbra/login.php?cmd=login_submit&id=15eb42856be74c443d528e597bf02d4815eb42856be74c443d528e597bf02d48&session=15eb42856be74c443d528e597bf02d4815eb42856be74c443d528e597bf02d48
0,http://www.ipdtransform.com/
0,http://www.geocities.com/noeheaven/
1,http://mobile-free-fr.freemooe.beget.tech/espace/freemobs/moncompte/index.php?clientid=13698&amp;default=eaeb5895f0e1850fd7e865f20e973fad
1,http://ads-page.co/FB/Payment-update-0.html
1,http://www.tehrecordings.com/wp-includes/images/media/dropbox/
1,http://dbfshgwqr.000webhostapp.com/Unblock/Payment-update-01.html?fb_s
0,http://www.e-kondomer.dk/
0,http://www.manparrish.com/
1,http://teamfactory.co.za/hy
1,http://asmo48.ru/error.php?email=abuse@citi.com
1,http://scures-fb.000webhostapp.com/payment-update-01.html?=10065877425?fb_source=bookmark_apps
0,http://www.policefoundation.org/
0,http://stubblefieldprint.com/
1,http://explode-vt.de/media/system/js/docs/357af5ed42846c62e0186f8ba314b815/
1,http://epte.com.br/Carteira.BitCoin.end01/
0,http://www.allmountainholidays.com/weather.php
1,http://nuocuongquan2.com/css/GOOGLENEWW/GOOGLENEWW/GOOGLENEW/realestateseller/doc/work/ec
1,http://accrssweb.ukit.me/
1,http://crem.org.ng/blogger/remote/Adex.php?email=abuse@rednox.biz
0,http://www.balletsanjose.org/
1,https://zedplays.com/registration?theme=sporter-soccer&amp;pubid=A3934539606-3575342284-3451635506&amp;a_aid=45dsfsfg516vp&amp;clickid=PETg9EuiH1Q954Vd2MQKrbnA5m0&amp;page=sporter-soccer&amp;ref=1511692597
1,http://audacitytobeyou.com/Admin/AdminDB/index.html
0,http://www.pimpcafe.com/
0,http://www.devilsmania.com/
0,http://www.bromontfarm.com/
1,http://www.theabstractprincess.com/documents/page/b4a93aab14d6d85caa830c3cc27292db/
